        26,          1250,   89102,   -5239,  -83866,   99950,  -62405,  -32721,    4366,  -19381,   18487,   80736,  -39110,   66741,   80847,  -39150,   66051,   80755,  -39040,   67570,   80690,  -39035,   67778,   80969,  -39013,   67180,   80817,  -39023,   67727,   80484,  -39161,   67474,   81162,  -39017,   66606
        27,          1300,   88231,   -3355,  -84877,   99982,  -60924,  -34148,    4366,  -19381,   18487,   80783,  -37320,   65717,   80897,  -37362,   65016,   80794,  -37246,   66568,   80728,  -37241,   66780,   81004,  -37216,   66171,   80854,  -37227,   66730,   80536,  -37374,   66467,   81196,  -37221,   65586
        28,          1350,   87328,   -1471,  -85859,   99997,  -59432,  -35572,    4366,  -19381,   18487,   80841,  -35575,   64712,   80958,  -35620,   64000,   80845,  -35497,   65583,   80777,  -35491,   65800,   81050,  -35465,   65179,   80902,  -35477,   65750,   80599,  -35633,   65478,   81243,  -35470,   64583
        29,          1400,   86394,     414,  -86810,   99999,  -57928,  -36995,    4366,  -19381,   18487,   80909,  -33875,   63724,   81029,  -33923,   63002,   80907,  -33792,   64614,   80838,  -33786,   64837,   81108,  -33759,   64205,   80961,  -33771,   64786,   80673,  -33936,   64506,   81300,  -33763,   63597
        30,          1450,   85429,    2299,  -87730,   99986,  -56414,  -38416,    4366,  -19381,   18487,   80988,  -32218,   62752,   81110,  -32268,   62022,   80979,  -32131,   63662,   80910,  -32124,   63889,   81177,  -32095,   63246,   81032,  -32108,   63838,   80756,  -32282,   63552,   81368,  -32100,   62627
        31,          1500,   84434,    4183,  -88619,   99956,  -54890,  -39832,    4366,  -19381,   18487,   81077,  -30604,   61797,   81201,  -30656,   61058,   81062,  -30512,   62725,   80992,  -30504,   62957,   81256,  -30474,   62303,   81112,  -30488,   62905,   80850,  -30671,   62613,   81446,  -30479,   61672
        32,          1550,   83409,    6065,  -89477,   99908,  -53354,  -41242,    4366,  -19381,   18487,   81176,  -29031,   60857,   81301,  -29086,   60110,   81156,  -28934,   61802,   81084,  -28926,   62039,   81345,  -28894,   61374,   81204,  -28909,   61987,   80953,  -29101,   61689,   81535,  -28900,   60733
        33,          1600,   82355,    7945,  -90302,   99843,  -51808,  -42649,    4366,  -19381,   18487,   81284,  -27499,   59931,   81411,  -27556,   59176,   81259,  -27397,   60894,   81186,  -27389,   61135,   81445,  -27356,   60459,   81305,  -27371,   61082,   81065,  -27572,   60781,   81634,  -27361,   59808
        34,          1650,   81271,    9823,  -91096,   99762,  -50251,  -44050,    4366,  -19381,   18487,   81402,  -26006,   59020,   81530,  -26066,   58258,   81372,  -25901,   59999,   81299,  -25891,   60245,   81554,  -25857,   59558,   81416,  -25873,   60191,   81187,  -26083,   59886,   81743,  -25862,   58896
        35,          1700,   80158,   11697,  -91857,   99662,  -48685,  -45446,    4366,  -19381,   18487,   81528,  -24553,   58121,   81658,  -24615,   57353,   81495,  -24443,   59116,   81420,  -24433,   59367,   81673,  -24397,   58669,   81536,  -24414,   59312,   81318,  -24633,   59004,   81861,  -24403,   57997
        36,          1750,   79017,   13567,  -92586,   99543,  -47107,  -46836,    4366,  -19381,   18487,   81664,  -23138,   57236,   81795,  -23202,   56461,   81627,  -23023,   58246,   81551,  -23013,   58501,   81801,  -22975,   57793,   81666,  -22993,   58445,   81457,  -23221,   58136,   81988,  -22981,   57111
        37,          1800,   77848,   15432,  -93282,   99405,  -45520,  -48218,    4366,  -19381,   18487,   81808,  -21761,   56362,   81940,  -21827,   55582,   81767,  -21641,   57387,   81691,  -21631,   57646,   81939,  -21591,   56928,   81805,  -21609,   57590,   81605,  -21847,   57279,   82124,  -21597,   56236
        38,          1850,   76651,   17291,  -93944,   99248,  -43922,  -49594,    4366,  -19381,   18487,   81961,  -20420,   55500,   82093,  -20488,   54715,   81916,  -20296,   56540,   81839,  -20285,   56803,   82084,  -20244,   56075,   81952,  -20263,   56746,   81761,  -20509,   56434,   82269,  -20250,   55373
        39,          1900,   75427,   19145,  -94574,   99072,  -42314,  -50963,    4366,  -19381,   18487,   82121,  -19115,   54649,   82254,  -19185,   53859,   82074,  -18987,   55703,   81996,  -18975,   55970,   82239,  -18932,   55231,   82108,  -18952,   55912,   81924,  -19207,   55600,   82422,  -18938,   54520
        40,          1950,   74176,   20991,  -95169,   98874,  -40697,  -52323,    4366,  -19381,   18487,   82289,  -17845,   53809,   82422,  -17918,   53014,   82240,  -17713,   54876,   82161,  -17701,   55147,   82401,  -17656,   54398,   82272,  -17677,   55088,   82096,  -17940,   54776,   82583,  -17662,   53678
        41,          2000,   72899,   22830,  -95731,   98656,  -39070,  -53674,    4366,  -19381,   18487,   82465,  -16610,   52979,   82598,  -16684,   52179,   82413,  -16473,   54058,   82334,  -16461,   54334,   82571,  -16415,   53575,   82444,  -16436,   54273,   82275,  -16708,   53962,   82752,  -16421,   52845
        42,          2050,   71595,   24661,  -96259,   98417,  -37434,  -55016,    4366,  -19381,   18487,   82648,  -15408,   52158,   82781,  -15485,   51354,   82594,  -15268,   53250,   82514,  -15254,   53530,   82749,  -15207,   52760,   82623,  -15229,   53468,   82461,  -15510,   53158,   82929,  -15213,   52021
        43,          2100,   70267,   26484,  -96752,   98157,  -35788,  -56349,    4366,  -19381,   18487,   82838,  -14239,   51346,   82971,  -14318,   50538,   82782,  -14095,   52450,   82701,  -14081,   52734,   82934,  -14032,   51954,   82810,  -14055,   52671,   82654,  -14344,   52363,   83112,  -14038,   51206
        44,          2150,   68913,   28296,  -97212,   97875,  -34133,  -57672,    4366,  -19381,   18487,   83035,  -13103,   50543,   83168,  -13184,   49731,   82977,  -12955,   51658,   82896,  -12941,   51947,   83126,  -12890,   51157,   83003,  -12914,   51882,   82853,  -13211,   51576,   83303,  -12895,   50400
        45,          2200,   67535,   30099,  -97636,   97570,  -32469,  -58983,    4366,  -19381,   18487,   83238,  -11998,   49747,   83370,  -12081,   48933,   83179,  -11846,   50874,   83096,  -11831,   51167,   83325,  -11779,   50367,   83203,  -11804,   51101,   83059,  -12109,   50797,   83500,  -11785,   49602
        46,          2250,   66133,   31891,  -98026,   97243,  -30797,  -60284,    4366,  -19381,   18487,   83447,  -10924,   48960,   83579,  -11009,   48142,   83386,  -10769,   50098,   83304,  -10753,   50395,   83530,  -10699,   49585,   83410,  -10725,   50327,   83270,  -11038,   50027,   83703,  -10705,   48811
        47,          2300,   64707,   33672,  -98382,   96893,  -29116,  -61573,    4366,  -19381,   18487,   83662,   -9881,   48180,   83794,   -9967,   47360,   83600,   -9721,   49329,   83517,   -9706,   49630,   83741,   -9650,   48810,   83622,   -9676,   49560,   83488,   -9997,   49263,   83913,   -9655,   48028
        48,          2350,   63259,   35441,  -98702,   96519,  -27427,  -62849,    4366,  -19381,   18487,   83882,   -8867,   47408,   84014,   -8954,   46584,   83820,   -8704,   48566,   83736,   -8688,   48872,   83958,   -8630,   48042,   83841,   -8657,   48800,   83711,   -8986,   48507,   84128,   -8635,   47251
        49,          2400,   61788,   37197,  -98987,   96122,  -25730,  -64113,    4366,  -19381,   18487,   84108,   -7882,   46641,   84239,   -7971,   45815,   84045,   -7715,   47810,   83961,   -7699,   48120,   84180,   -7639,   47281,   84064,   -7668,   48047,   83939,   -8004,   47757,   84348,   -7644,   46481
        50,          2450,   60295,   38940,  -99237,   95702,  -24026,  -65364,    4366,  -19381,   18487,   84339,   -6925,   45882,   84469,   -7016,   45053,   84275,   -6755,   47061,   84190,   -6738,   47374,   84407,   -6677,   46525,   84293,   -6706,   47300,   84172,   -7051,   47014,   84574,   -6682,   45717
        51,          2500,   58781,   40669,  -99452,   95257,  -22314,  -66601,    4366,  -19381,   18487,   84574,   -5996,   45128,   84703,   -6088,   44297,   84510,   -5823,   46317,   84425,   -5805,   46635,   84640,   -5743,   45776,   84527,   -5773,   46558,   84409,   -6124,   46276,   84805,   -5747,   44959
        52,          2550,   57245,   42384,  -99631,   94787,  -20595,  -67823,    4366,  -19381,   18487,   84814,   -5095,   44380,   84942,   -5188,   43547,   84750,   -4918,   45578,   84664,   -4900,   45901,   84877,   -4836,   45032,   84765,   -4866,   45822,   84651,   -5225,   45545,   85040,   -4840,   44207
        53,          2600,   55690,   44083,  -99775,   94293,  -18870,  -69030,    4366,  -19381,   18487,   85058,   -4219,   43638,   85185,   -4314,   42802,   84994,   -4039,   44845,   84908,   -4021,   45172,   85118,   -3955,   44293,   85008,   -3987,   45091,   84897,   -4353,   44818,   85280,   -3959,   43461
        54,          2650,   54114,   45767,  -99884,   93774,  -17138,  -70222,    4366,  -19381,   18487,   85305,   -3370,   42901,   85432,   -3466,   42063,   85242,   -3187,   44117,   85155,   -3168,   44448,   85363,   -3100,   43560,   85255,   -3133,   44366,   85147,   -3506,   44098,   85523,   -3104,   42720
        55,          2700,   52520,   47435,  -99957,   93229,  -15401,  -71398,    4366,  -19381,   18487,   85557,   -2546,   42169,   85682,   -2643,   41328,   85493,   -2360,   43394,   85406,   -2340,   43730,   85612,   -2271,   42831,   85505,   -2305,   43645,   85401,   -2684,   43381,   85770,   -2274,   41983
        56,          2750,   50906,   49086,  -99994,   92660,  -13658,  -72557,    4366,  -19381,   18487,   85811,   -1746,   41442,   85935,   -1845,   40599,   85748,   -1557,   42675,   85661,   -1537,   43016,   85865,   -1467,   42107,   85759,   -1501,   42929,   85657,   -1887,   42670,   86021,   -1469,   41252
