Time,SBUS A          V-node,SBUS B          V-node,SBUS C          V-node,SBUS A 22   A I-branch,SBUS B 22   B I-branch,SBUS C 22   C I-branch,TACS   PV001V I-branch,TACS   PV001I I-branch,TACS   PV001W I-branch,TACS   PV002V I-branch,TACS   PV002I I-branch,TACS   PV002W I-branch,TACS   ST001V I-branch,TACS   ST001I I-branch,TACS   ST001W I-branch,TACS   ST002V I-branch,TACS   ST002I I-branch,TACS   ST002W I-branch,TACS   ST003V I-branch,TACS   ST003I I-branch,TACS   ST003W I-branch
32400,98530,-34479,-64053,87306,-62309,-17368,74288,-68108,71885,99368,99455,37950,99368,76550,99781,74288,66796,71885,99368,99455,37950
32450,98190,-32704,-65489,87963,-60886,-19181,74524,-68144,71843,99369,99455,38111,99369,76549,99782,74524,66607,71843,99369,99455,38111
32500,97816,-30917,-66902,88587,-59441,-20986,74754,-68180,71801,99370,99454,38273,99370,76549,99783,74754,66417,71801,99370,99454,38273
32550,97407,-29119,-68291,89180,-57975,-22784,74978,-68217,71758,99370,99454,38425,99370,76548,99783,74978,66227,71758,99370,99454,38425
32600,96963,-27310,-69655,89740,-56489,-24574,75196,-68253,71715,99371,99453,38577,99371,76548,99784,75196,66036,71715,99371,99453,38577
32650,96485,-25492,-70995,90267,-54982,-26356,75406,-68290,71671,99372,99453,38729,99372,76547,99784,75406,65846,71671,99372,99453,38729
32700,95973,-23665,-72310,90762,-53456,-28128,75610,-68326,71626,99373,99452,38871,99373,76547,99785,75610,65655,71626,99373,99452,38871
32750,95426,-21830,-73599,91224,-51910,-29890,75807,-68363,71581,99374,99452,39023,99374,76546,99785,75807,65465,71581,99374,99451,39023
32800,94846,-19987,-74862,91653,-50346,-31641,75997,-68399,71535,99375,99451,39156,99375,76546,99786,75997,65275,71535,99375,99451,39156
32850,94232,-18136,-76098,92048,-48765,-33381,76179,-68435,71489,99376,99450,39299,99376,76545,99786,76179,65086,71489,99376,99450,39299
32900,93584,-16279,-77308,92411,-47166,-35109,76354,-68471,71442,99377,99450,39441,99377,76545,99787,76354,64898,71442,99377,99450,39441
32950,92903,-14417,-78490,92740,-45550,-36825,76522,-68507,71395,99377,99449,39574,99377,76544,99787,76522,64710,71395,99377,99449,39574
33000,92190,-12549,-79643,93035,-43918,-38527,76682,-68543,71347,99378,99449,39707,99378,76544,99788,76682,64523,71347,99378,99449,39707
33050,91443,-10677,-80769,93296,-42270,-40216,76833,-68578,71299,99379,99448,39831,99379,76543,99788,76833,64338,71299,99379,99448,39831
33100,90664,-8801,-81866,93524,-40607,-41891,76978,-68613,71251,99380,99447,39964,99380,76543,99788,76978,64154,71251,99380,99447,39964
33150,89853,-6922,-82934,93718,-38930,-43551,77114,-68648,71202,99380,99447,40087,99380,76542,99789,77114,63971,71202,99380,99447,40087
33200,89010,-5040,-83972,93878,-37239,-45195,77242,-68683,71153,99381,99446,40211,99381,76542,99789,77242,63790,71153,99381,99446,40211
33250,88135,-3157,-84981,94004,-35534,-46823,77362,-68717,71104,99382,99446,40334,99382,76541,99790,77362,63611,71104,99382,99446,40334
33300,87229,-1273,-85959,94095,-33817,-48434,77474,-68751,71054,99383,99445,40448,99383,76541,99790,77474,63434,71054,99383,99445,40448
33350,86291,612,-86907,94153,-32088,-50029,77578,-68785,71004,99383,99444,40572,99383,76540,99791,77578,63258,71004,99383,99444,40572
33400,85324,2497,-87824,94177,-30347,-51605,77674,-68818,70954,99384,99444,40686,99384,76539,99791,77674,63085,70954,99384,99444,40686
33450,84326,4381,-88710,94166,-28596,-53163,77761,-68851,70904,99385,99443,40800,99385,76539,99791,77761,62914,70904,99385,99443,40800
33500,83297,6263,-89564,94122,-26834,-54703,77840,-68883,70854,99385,99442,40914,99385,76538,99792,77840,62746,70854,99385,99442,40914
33550,82240,8143,-90386,94043,-25063,-56222,77912,-68915,70804,99386,99442,41019,99386,76538,99792,77912,62580,70804,99386,99442,41019
33600,81153,10020,-91177,93931,-23283,-57722,77975,-68946,70753,99386,99441,41133,99386,76537,99793,77975,62417,70753,99386,99441,41133
33650,80037,11894,-91935,93784,-21495,-59202,78030,-68977,70703,99387,99441,41237,99387,76537,99793,78030,62256,70703,99387,99441,41237
33700,78893,13763,-92660,93603,-19699,-60660,78077,-69007,70652,99387,99440,41342,99387,76536,99793,78077,62098,70652,99387,99440,41342
33750,77721,15627,-93352,93389,-17896,-62096,78116,-69036,70602,99388,99439,41446,99388,76536,99794,78116,61944,70602,99388,99439,41446
33800,76521,17486,-94011,93141,-16086,-63511,78147,-69065,70551,99388,99439,41551,99388,76535,99794,78147,61792,70551,99388,99439,41551
33850,75294,19339,-94637,92858,-14271,-64903,78170,-69094,70501,99389,99438,41646,99389,76535,99794,78170,61644,70501,99389,99438,41646
33900,74040,21185,-95229,92543,-12451,-66272,78185,-69121,70451,99389,99438,41750,99389,76534,99795,78185,61498,70451,99389,99438,41750
33950,72760,23023,-95787,92194,-10626,-67617,78193,-69149,70401,99390,99437,41845,99390,76533,99795,78193,61357,70401,99390,99437,41845
34000,71454,24853,-96312,91811,-8798,-68939,78193,-69175,70351,99390,99436,41940,99390,76533,99795,78193,61218,70351,99390,99436,41940
34050,70123,26674,-96802,91395,-6966,-70236,78186,-69201,70301,99390,99436,42035,99390,76532,99796,78186,61083,70301,99390,99436,42035
34100,68767,28486,-97257,90946,-5132,-71507,78171,-69226,70251,99391,99435,42130,99391,76532,99796,78171,60952,70251,99391,99435,42130
34150,67386,30288,-97678,90464,-3296,-72754,78149,-69250,70202,99391,99435,42225,99391,76531,99796,78149,60824,70202,99391,99435,42225
34200,65982,32079,-98065,89950,-1459,-73974,78120,-69274,70153,99391,99434,42320,99391,76531,99797,78120,60700,70153,99391,99434,42320
34250,64554,33858,-98416,89402,379,-75169,78084,-69297,70104,99391,99434,42415,99391,76530,99797,78084,60580,70104,99391,99434,42415
34300,63103,35626,-98733,88823,2216,-76336,78042,-69320,70056,99391,99433,42510,99391,76530,99797,78042,60463,70056,99391,99433,42510
34350,61629,37381,-99014,88211,4053,-77477,77993,-69341,70008,99392,99432,42596,99392,76530,99798,77993,60351,70008,99392,99432,42596
34400,60134,39122,-99261,87567,5889,-78590,77937,-69362,69960,99392,99432,42691,99392,76529,99798,77937,60242,69960,99392,99432,42691
34450,58618,40850,-99472,86892,7722,-79675,77875,-69382,69913,99392,99431,42786,99392,76529,99798,77875,60137,69913,99392,99431,42786
34500,57080,42563,-99648,86185,9552,-80731,77807,-69401,69867,99392,99431,42871,99392,76528,99799,77807,60036,69867,99392,99431,42871
34550,55522,44261,-99788,85447,11380,-81759,77733,-69420,69820,99392,99430,42966,99392,76528,99799,77733,59940,69820,99392,99430,42966
34600,53945,45943,-99893,84677,13203,-82758,77653,-69437,69775,99392,99430,43052,99392,76527,99799,77653,59847,69775,99392,99430,43052
34650,52348,47609,-99962,83878,15021,-83728,77568,-69454,69729,99392,99430,43147,99392,76527,99800,77568,59758,69729,99392,99430,43147
34700,50733,49258,-99996,83047,16834,-84667,77478,-69471,69685,99392,99429,43232,99392,76526,99800,77478,59674,69685,99392,99429,43232
34750,49100,50890,-99994,82187,18642,-85577,77382,-69486,69641,99392,99429,43318,99392,76526,99800,77382,59594,69641,99392,99429,43318
34800,47449,52503,-99957,81297,20442,-86456,77282,-69500,69597,99392,99428,43413,99392,76526,99801,77282,59517,69597,99392,99428,43413
34850,45782,54098,-99884,80377,22235,-87305,77177,-69514,69554,99392,99428,43508,99392,76525,99801,77177,59445,69554,99392,99428,43508
34900,44098,55674,-99776,79428,24021,-88122,77068,-69527,69512,99391,99427,43593,99391,76525,99801,77068,59377,69512,99391,99427,43593
34950,42398,57229,-99632,78450,25798,-88908,76954,-69540,69470,99391,99427,43688,99391,76525,99801,76954,59313,69470,99391,99427,43688
35000,40684,58765,-99453,77444,27565,-89663,76836,-69551,69429,99391,99427,43774,99391,76524,99802,76836,59253,69429,99391,99427,43774
35050,38955,60279,-99239,76410,29323,-90385,76715,-69562,69389,99391,99426,43869,99391,76524,99802,76715,59198,69389,99391,99426,43869
35100,37212,61773,-98989,75348,31071,-91076,76590,-69572,69350,99391,99426,43964,99391,76524,99802,76590,59146,69350,99391,99426,43964
35150,35456,63244,-98704,74258,32807,-91734,76462,-69581,69311,99390,99426,44059,99390,76523,99803,76462,59098,69311,99390,99426,44059
35200,33687,64693,-98385,73142,34532,-92360,76331,-69589,69273,99390,99425,44154,99390,76523,99803,76331,59055,69273,99390,99425,44154
35250,31906,66118,-98030,71999,36244,-92952,76197,-69597,69236,99390,99425,44249,99390,76523,99803,76197,59015,69236,99390,99425,44249
35300,30114,67521,-97640,70829,37944,-93512,76060,-69603,69199,99389,99425,44344,99389,76523,99804,76060,58980,69199,99389,99425,44344
35350,28312,68899,-97216,69634,39630,-94039,75921,-69609,69163,99389,99424,44439,99389,76522,99804,75921,58948,69163,99389,99424,44439
35400,26499,70253,-96757,68414,41302,-94532,75781,-69615,69129,99389,99424,44534,99389,76522,99804,75781,58920,69129,99389,99424,44534
35450,24677,71582,-96263,67169,42960,-94991,75638,-69619,69094,99388,99424,44638,99388,76522,99805,75638,58896,69094,99388,99424,44638
35500,22846,72885,-95736,65899,44602,-95417,75494,-69623,69061,99388,99424,44733,99388,76522,99805,75494,58876,69061,99388,99424,44733
35550,21007,74162,-95174,64605,46228,-95808,75348,-69626,69029,99388,99423,44838,99388,76522,99805,75348,58860,69029,99388,99423,44838
35600,19160,75414,-94579,63288,47838,-96166,75201,-69629,68997,99387,99423,44942,99387,76521,99806,75201,58847,68997,99387,99423,44942
35650,17307,76638,-93950,61947,49431,-96490,75054,-69631,68967,99387,99423,45037,99387,76521,99806,75054,58838,68967,99387,99423,45037
35700,15448,77835,-93288,60584,51006,-96779,74906,-69632,68937,99386,99423,45151,99386,76521,99807,74906,58832,68937,99386,99423,45151
35750,13583,79005,-92592,59199,52563,-97034,74757,-69632,68908,99386,99423,45256,99386,76521,99807,74757,58830,68908,99386,99423,45256
35800,11713,80146,-91864,57793,54102,-97254,74609,-69632,68880,99385,99423,45360,99385,76521,99807,74609,58831,68880,99385,99423,45360
35850,9839,81259,-91103,56365,55621,-97440,74461,-69631,68853,99385,99423,45465,99385,76521,99808,74461,58836,68853,99385,99423,45465
35900,7962,82343,-90310,54916,57120,-97591,74313,-69630,68827,99384,99422,45579,99384,76521,99808,74313,58843,68827,99384,99422,45579
35950,6081,83398,-89484,53447,58600,-97708,74166,-69627,68801,99384,99422,45693,99384,76521,99808,74166,58854,68801,99384,99422,45693
36000,4199,84423,-88627,51959,60058,-97789,74019,-69625,68777,99383,99422,45807,99383,76520,99809,74019,58868,68777,99383,99422,45807
36050,2315,85418,-87738,50452,61495,-97836,73874,-69622,68753,99383,99422,45921,99383,76520,99809,73874,58885,68753,99383,99422,45921
36100,430,86383,-86818,48926,62910,-97849,73730,-69618,68730,99382,99422,46035,99382,76520,99810,73730,58905,68730,99382,99422,46035
36150,-1455,87317,-85868,47382,64303,-97826,73588,-69614,68709,99382,99422,46149,99382,76520,99810,73588,58927,68709,99382,99422,46149
36200,-3339,88220,-84886,45821,65673,-97769,73447,-69609,68688,99381,99422,46272,99381,76520,99811,73447,58952,68688,99381,99422,46272
36250,-5222,89092,-83875,44243,67019,-97677,73309,-69603,68668,99380,99422,46396,99380,76520,99811,73309,58980,68668,99380,99422,46396
36300,-7104,89932,-82834,42649,68342,-97550,73172,-69598,68648,99380,99422,46519,99380,76520,99811,73172,59010,68648,99380,99422,46519
36350,-8982,90740,-81763,41038,69641,-97388,73039,-69591,68630,99379,99422,46643,99379,76520,99812,73039,59043,68630,99379,99422,46643
36400,-10858,91516,-80663,39413,70915,-97192,72907,-69585,68613,99379,99422,46766,99379,76520,99812,72907,59077,68613,99379,99422,46766
36450,-12730,92260,-79535,37773,72163,-96962,72779,-69578,68596,99378,99422,46890,99378,76520,99813,72779,59114,68596,99378,99422,46890
36500,-14597,92970,-78379,36119,73386,-96697,72654,-69570,68580,99378,99422,47023,99378,76521,99813,72654,59153,68580,99378,99422,47023
36550,-16459,93648,-77194,34452,74583,-96397,72532,-69563,68565,99377,99422,47156,99377,76521,99814,72532,59194,68565,99377,99422,47156
36600,-18315,94292,-75982,32771,75753,-96063,72414,-69554,68551,99377,99423,47279,99377,76521,99814,72414,59236,68551,99377,99423,47279
36650,-20165,94903,-74743,31079,76897,-95696,72300,-69546,68538,99376,99423,47412,99376,76521,99815,72300,59280,68538,99376,99423,47412
36700,-22007,95480,-73478,29375,78013,-95294,72189,-69537,68525,99375,99423,47555,99375,76521,99815,72189,59326,68525,99375,99423,47555
36750,-23842,96024,-72186,27659,79101,-94858,72082,-69528,68513,99375,99423,47688,99375,76521,99815,72082,59373,68513,99375,99423,47688
36800,-25668,96533,-70869,25934,80162,-94389,71980,-69519,68502,99374,99423,47830,99374,76521,99816,71980,59421,68502,99374,99423,47830
36850,-27486,97007,-69527,24198,81193,-93886,71882,-69510,68492,99374,99423,47963,99374,76521,99816,71882,59471,68492,99374,99423,47963
36900,-29293,97448,-68160,22453,82196,-93349,71789,-69500,68483,99373,99423,48106,99373,76521,99817,71789,59521,68483,99373,99423,48106
36950,-31090,97853,-66768,20700,83170,-92780,71701,-69490,68474,99373,99423,48249,99373,76522,99817,71701,59572,68474,99373,99423,48249
37000,-32876,98224,-65353,18939,84114,-92177,71617,-69480,68465,99372,99424,48391,99372,76522,99818,71617,59624,68465,99372,99424,48391
37050,-34650,98560,-63915,17170,85029,-91542,71539,-69470,68458,99372,99424,48543,99372,76522,99818,71539,59677,68458,99372,99424,48543
37100,-36412,98861,-62454,15395,85913,-90874,71466,-69460,68451,99371,99424,48686,99371,76522,99819,71466,59730,68451,99371,99424,48686
37150,-38161,99127,-60971,13614,86767,-90174,71398,-69450,68445,99371,99424,48838,99371,76522,99819,71398,59783,68445,99371,99424,48838
37200,-39896,99358,-59466,11827,87589,-89442,71336,-69440,68439,99371,99424,48980,99371,76522,99820,71336,59837,68439,99371,99424,48980
37250,-41617,99553,-57940,10035,88381,-88678,71280,-69429,68434,99370,99425,49132,99370,76522,99821,71280,59890,68434,99370,99425,49132
37300,-43324,99713,-56394,8239,89141,-87883,71229,-69419,68429,99370,99425,49284,99370,76523,99821,71229,59944,68429,99370,99425,49284
37350,-45015,99838,-54827,6440,89870,-87056,71184,-69409,68425,99369,99425,49436,99369,76523,99822,71184,59997,68425,99369,99425,49436
37400,-46690,99927,-53241,4638,90567,-86199,71145,-69399,68421,99369,99425,49588,99369,76523,99822,71145,60050,68421,99369,99425,49588
37450,-48349,99980,-51636,2833,91231,-85310,71113,-69389,68418,99369,99425,49750,99369,76523,99823,71113,60103,68418,99369,99425,49750
37500,-49990,99999,-50013,1027,91864,-84392,71087,-69379,68415,99368,99426,49902,99368,76523,99823,71087,60155,68415,99368,99426,49902
37550,-51613,99981,-48372,-780,92463,-83443,71067,-69369,68413,99368,99426,50063,99368,76524,99824,71067,60206,68413,99368,99426,50063
37600,-53219,99928,-46714,-2588,93030,-82465,71053,-69360,68411,99368,99426,50215,99368,76524,99824,71053,60256,68411,99368,99426,50215
37650,-54805,99840,-45039,-4395,93564,-81457,71046,-69350,68409,99367,99426,50377,99367,76524,99825,71046,60305,68409,99367,99426,50377
37700,-56372,99716,-43348,-6201,94064,-80421,71046,-69341,68408,99367,99427,50538,99367,76524,99825,71046,60354,68408,99367,99427,50538
37750,-57918,99556,-41642,-8006,94531,-79356,71052,-69332,68407,99367,99427,50700,99367,76524,99826,71052,60401,68407,99367,99427,50700
37800,-59445,99361,-39921,-9808,94965,-78263,71064,-69323,68406,99367,99427,50861,99367,76525,99827,71064,60446,68406,99367,99427,50861
37850,-60950,99131,-38186,-11608,95364,-77142,71084,-69315,68405,99366,99427,51023,99366,76525,99827,71084,60490,68405,99366,99427,51023
37900,-62433,98866,-36437,-13404,95730,-75993,71110,-69307,68405,99366,99427,51184,99366,76525,99828,71110,60533,68405,99366,99427,51184
37950,-63895,98566,-34675,-15196,96062,-74818,71143,-69299,68404,99366,99428,51346,99366,76525,99828,71143,60573,68404,99366,99428,51346
38000,-65333,98230,-32901,-16983,96360,-73616,71183,-69291,68404,99366,99428,51507,99366,76526,99829,71183,60612,68404,99366,99428,51507
38050,-66748,97860,-31115,-18765,96624,-72387,71230,-69284,68404,99366,99428,51669,99366,76526,99829,71230,60649,68404,99366,99428,51669
38100,-68140,97455,-29319,-20541,96853,-71133,71283,-69278,68404,99366,99428,51840,99366,76526,99830,71283,60684,68404,99366,99428,51840
38150,-69507,97015,-27511,-22310,97048,-69854,71344,-69272,68404,99366,99429,52001,99366,76526,99831,71344,60716,68404,99366,99429,52001
38200,-70850,96541,-25694,-24072,97208,-68550,71411,-69266,68404,99365,99429,52163,99365,76526,99831,71411,60747,68404,99365,99429,52163
38250,-72168,96032,-23868,-25826,97334,-67221,71485,-69260,68404,99365,99429,52334,99365,76526,99832,71485,60774,68404,99365,99429,52334
38300,-73460,95490,-22034,-27571,97426,-65869,71565,-69256,68404,99365,99429,52495,99365,76527,99832,71565,60800,68404,99365,99429,52495
38350,-74725,94913,-20191,-29307,97482,-64493,71652,-69251,68404,99365,99429,52657,99365,76527,99833,71652,60823,68404,99365,99429,52657
38400,-75965,94303,-18342,-31033,97505,-63095,71746,-69247,68403,99365,99430,52828,99365,76527,99833,71746,60843,68403,99365,99430,52828
38450,-77177,93659,-16486,-32749,97492,-61673,71847,-69244,68403,99366,99430,52989,99366,76527,99834,71847,60860,68403,99366,99430,52989
38500,-78362,92982,-14624,-34454,97445,-60230,71954,-69241,68402,99366,99430,53151,99366,76527,99835,71954,60875,68402,99366,99430,53151
38550,-79519,92272,-12756,-36148,97363,-58766,72067,-69239,68402,99366,99430,53322,99366,76528,99835,72067,60886,68402,99366,99430,53322
38600,-80648,91529,-10885,-37829,97247,-57281,72187,-69237,68400,99366,99430,53483,99366,76528,99836,72187,60895,68400,99366,99430,53483
38650,-81748,90754,-9009,-39497,97096,-55775,72312,-69236,68399,99366,99431,53645,99366,76528,99836,72312,60901,68399,99366,99431,53645
38700,-82819,89946,-7130,-41152,96911,-54249,72444,-69236,68398,99366,99431,53806,99366,76528,99837,72444,60903,68398,99366,99431,53806
38750,-83860,89106,-5249,-42793,96692,-52704,72582,-69236,68396,99366,99431,53968,99366,76528,99837,72582,60903,68396,99366,99431,53968
38800,-84872,88235,-3366,-44420,96438,-51141,72726,-69237,68393,99367,99431,54139,99367,76528,99838,72726,60899,68393,99367,99431,54139
38850,-85854,87332,-1482,-46031,96149,-49559,72875,-69238,68391,99367,99431,54300,99367,76528,99839,72875,60892,68391,99367,99431,54300
38900,-86805,86399,403,-47627,95827,-47960,73030,-69240,68388,99367,99431,54452,99367,76528,99839,73030,60881,68388,99367,99431,54452
38950,-87725,85435,2288,-49206,95471,-46343,73191,-69243,68384,99367,99431,54614,99367,76529,99840,73191,60867,68384,99367,99431,54614
39000,-88615,84440,4172,-50768,95081,-44710,73357,-69246,68380,99368,99431,54775,99368,76529,99840,73357,60850,68380,99368,99431,54775
39050,-89472,83415,6054,-52313,94657,-43062,73527,-69250,68376,99368,99432,54937,99368,76529,99841,73527,60829,68376,99368,99432,54937
39100,-90298,82361,7935,-53840,94199,-41398,73703,-69255,68371,99368,99432,55089,99368,76529,99841,73703,60805,68371,99368,99432,55089
39150,-91092,81277,9812,-55349,93708,-39719,73883,-69260,68366,99369,99432,55250,99369,76529,99842,73883,60778,68366,99369,99432,55250
39200,-91854,80165,11686,-56838,93183,-38026,74068,-69266,68360,99369,99432,55402,99369,76529,99842,74068,60747,68360,99369,99432,55402
39250,-92582,79024,13556,-58308,92626,-36319,74257,-69272,68354,99369,99432,55555,99369,76529,99843,74257,60712,68354,99369,99432,55555
39300,-93278,77855,15421,-59758,92036,-34600,74451,-69280,68347,99370,99432,55707,99370,76529,99844,74451,60675,68347,99370,99432,55707
39350,-93941,76658,17281,-61188,91413,-32868,74648,-69287,68340,99370,99432,55859,99370,76529,99844,74648,60633,68340,99370,99432,55859
39400,-94570,75434,19134,-62596,90757,-31125,74849,-69296,68332,99371,99432,56011,99371,76529,99845,74849,60588,68332,99371,99432,56011
39450,-95166,74183,20981,-63982,90070,-29370,75053,-69305,68323,99371,99432,56163,99371,76529,99845,75053,60540,68323,99371,99432,56163
39500,-95728,72906,22820,-65347,89350,-27605,75261,-69315,68314,99372,99432,56315,99372,76529,99846,75261,60489,68314,99372,99432,56315
39550,-96256,71603,24651,-66688,88599,-25831,75471,-69326,68304,99372,99432,56457,99372,76529,99846,75471,60433,68304,99372,99432,56457
39600,-96750,70275,26473,-68007,87816,-24047,75685,-69337,68294,99373,99432,56600,99373,76529,99847,75685,60375,68294,99373,99432,56600
39650,-97209,68922,28286,-69302,87002,-22254,75900,-69349,68283,99373,99432,56742,99373,76529,99847,75900,60313,68283,99373,99432,56742
39700,-97634,67544,30089,-70574,86157,-20454,76119,-69361,68271,99374,99432,56885,99374,76529,99848,76119,60248,68271,99374,99432,56885
39750,-98024,66142,31881,-71820,85281,-18646,76339,-69374,68259,99374,99432,57027,99374,76529,99848,76339,60180,68259,99374,99432,57027
39800,-98380,64716,33662,-73042,84375,-16832,76560,-69388,68245,99375,99432,57170,99375,76529,99849,76560,60109,68245,99375,99432,57170
39850,-98700,63268,35430,-74239,83440,-15012,76784,-69402,68232,99376,99431,57303,99376,76529,99849,76784,60034,68232,99376,99431,57303
39900,-98986,61797,37187,-75410,82474,-13186,77008,-69417,68217,99376,99431,57436,99376,76528,99850,77008,59957,68217,99376,99431,57436
39950,-99236,60304,38930,-76554,81479,-11356,77234,-69432,68202,99377,99431,57569,99377,76528,99850,77234,59876,68202,99377,99431,57569
40000,-99451,58790,40659,-77672,80456,-9521,77460,-69448,68187,99377,99431,57702,99377,76528,99851,77460,59792,68187,99377,99431,57702
40050,-99630,57255,42374,-78763,79403,-7683,77687,-69465,68170,99378,99431,57835,99378,76528,99851,77687,59706,68170,99378,99431,57835
40100,-99774,55699,44073,-79827,78323,-5843,77914,-69482,68153,99379,99431,57958,99379,76528,99851,77914,59617,68153,99379,99431,57958
40150,-99883,54124,45758,-80863,77215,-4000,78141,-69499,68135,99379,99431,58082,99379,76528,99852,78141,59525,68135,99379,99431,58082
40200,-99956,52530,47425,-81871,76079,-2156,78367,-69518,68117,99380,99430,58205,99380,76528,99852,78367,59430,68117,99380,99430,58205
40250,-99994,50917,49076,-82850,74916,-311,78593,-69536,68098,99381,99430,58329,99381,76528,99853,78593,59333,68098,99381,99430,58329
40300,-99996,49285,50710,-83801,73727,1534,78818,-69555,68078,99381,99430,58452,99381,76527,99853,78818,59234,68078,99381,99430,58452
40350,-99963,47637,52325,-84722,72511,3378,79042,-69575,68057,99382,99430,58566,99382,76527,99854,79042,59132,68057,99382,99430,58566
40400,-99894,45971,53922,-85614,71270,5221,79265,-69594,68036,99383,99430,58680,99383,76527,99854,79265,59028,68036,99383,99430,58680
40450,-99790,44289,55500,-86476,70003,7063,79486,-69615,68014,99383,99429,58794,99383,76527,99854,79486,58921,68014,99383,99429,58794
40500,-99650,42591,57058,-87308,68712,8902,79705,-69636,67992,99384,99429,58908,99384,76527,99855,79705,58813,67992,99384,99429,58908
40550,-99475,40878,58596,-88109,67396,10737,79923,-69657,67969,99385,99429,59022,99385,76526,99855,79923,58703,67969,99385,99429,59022
40600,-99264,39151,60113,-88880,66056,12569,80137,-69678,67945,99385,99429,59127,99385,76526,99855,80137,58590,67945,99385,99429,59127
40650,-99018,37410,61608,-89620,64692,14397,80350,-69700,67921,99386,99428,59231,99386,76526,99856,80350,58476,67921,99386,99428,59231
40700,-98737,35655,63082,-90328,63306,16219,80559,-69722,67896,99387,99428,59336,99387,76526,99856,80559,58361,67896,99387,99428,59336
40750,-98421,33888,64533,-91005,61897,18036,80766,-69744,67870,99387,99428,59440,99387,76525,99857,80766,58244,67870,99387,99428,59440
40800,-98070,32108,65962,-91651,60466,19846,80969,-69767,67844,99388,99427,59535,99388,76525,99857,80969,58125,67844,99388,99427,59535
40850,-97684,30318,67366,-92264,59014,21649,81169,-69790,67817,99389,99427,59630,99389,76525,99857,81169,58006,67817,99389,99427,59630
40900,-97264,28516,68747,-92845,57541,23445,81366,-69813,67790,99389,99427,59725,99389,76524,99858,81366,57885,67790,99389,99427,59725
40950,-96809,26704,70104,-93394,56047,25232,81558,-69836,67762,99390,99426,59820,99390,76524,99858,81558,57763,67762,99390,99426,59820
41000,-96319,24883,71436,-93910,54533,27010,81747,-69860,67733,99391,99426,59915,99391,76524,99858,81747,57640,67733,99391,99426,59915
41050,-95795,23053,72742,-94394,53000,28779,81931,-69884,67704,99391,99426,60001,99391,76523,99859,81931,57516,67704,99391,99426,60001
41100,-95238,21215,74022,-94844,51448,30538,82111,-69907,67675,99392,99425,60086,99392,76523,99859,82111,57391,67675,99392,99425,60086
41150,-94646,19370,75276,-95262,49878,32285,82287,-69931,67645,99393,99425,60172,99393,76523,99859,82287,57266,67645,99393,99425,60172
41200,-94021,17517,76504,-95646,48290,34021,82458,-69955,67614,99393,99425,60257,99393,76523,99859,82458,57141,67614,99393,99425,60257
41250,-93362,15658,77704,-95997,46685,35745,82624,-69979,67583,99394,99424,60333,99394,76522,99860,82624,57015,67583,99394,99424,60333
41300,-92670,13794,78877,-96314,45063,37457,82785,-70003,67552,99394,99424,60419,99394,76522,99860,82785,56888,67552,99394,99424,60419
41350,-91945,11925,80021,-96598,43426,39155,82940,-70028,67520,99395,99423,60495,99395,76522,99860,82940,56762,67520,99395,99423,60495
41400,-91188,10051,81137,-96848,41773,40839,83091,-70052,67488,99396,99423,60571,99396,76521,99861,83091,56636,67488,99396,99423,60571
41450,-90398,8174,82225,-97064,40105,42509,83236,-70076,67455,99396,99423,60647,99396,76521,99861,83236,56509,67455,99396,99423,60647
41500,-89576,6294,83283,-97246,38422,44164,83376,-70100,67422,99397,99422,60713,99397,76520,99861,83376,56383,67422,99397,99422,60713
41550,-88722,4412,84311,-97395,36726,45803,83510,-70124,67388,99397,99422,60789,99397,76520,99861,83510,56258,67388,99397,99422,60789
41600,-87837,2528,85310,-97509,35018,47425,83638,-70148,67355,99398,99421,60856,99398,76520,99862,83638,56132,67355,99398,99421,60856
41650,-86921,643,86278,-97589,33296,49031,83761,-70172,67321,99398,99421,60922,99398,76519,99862,83761,56008,67321,99398,99421,60922
41700,-85973,-1241,87215,-97635,31563,50619,83878,-70196,67286,99399,99421,60989,99399,76519,99862,83878,55884,67286,99399,99421,60989
41750,-84995,-3126,88122,-97647,29818,52190,83989,-70219,67252,99399,99420,61055,99399,76519,99862,83989,55760,67252,99399,99420,61055
41800,-83987,-5009,88997,-97625,28063,53742,84094,-70243,67217,99399,99420,61112,99399,76518,99862,84094,55638,67217,99399,99420,61112
41850,-82949,-6891,89841,-97569,26298,55275,84193,-70266,67182,99400,99419,61179,99400,76518,99863,84193,55516,67182,99400,99419,61179
41900,-81882,-8770,90653,-97479,24524,56788,84286,-70289,67146,99400,99419,61236,99400,76518,99863,84286,55396,67146,99400,99419,61236
41950,-80785,-10646,91432,-97355,22741,58281,84373,-70312,67111,99401,99419,61293,99401,76517,99863,84373,55276,67111,99401,99419,61293
42000,-79660,-12518,92179,-97197,20950,59753,84453,-70334,67075,99401,99418,61350,99401,76517,99863,84453,55158,67075,99401,99418,61350
42050,-78506,-14386,92894,-97005,19151,61204,84528,-70357,67039,99401,99418,61407,99401,76516,99863,84528,55042,67039,99401,99418,61407
42100,-77325,-16249,93575,-96779,17346,62634,84597,-70379,67003,99402,99417,61464,99402,76516,99864,84597,54926,67003,99402,99417,61464
42150,-76116,-18106,94223,-96519,15534,64041,84659,-70400,66967,99402,99417,61521,99402,76516,99864,84659,54813,66967,99402,99417,61521
