        41,          2000,   28911,   68445,  -97361,   63093,   51377,  -98878,  -90634,   50632,   61135,   95485,   29299,   52125,   95485,   29299,   52125,  -90634,   25564,   61135,   95529,  -10661,   98495
        42,          2050,   27102,   69807,  -96913,   61715,   52975,  -99126,  -90876,   52840,   61550,   95563,   31154,   54577,   95563,   31154,   54577,  -90876,   27405,   61550,   95607,   -9379,   98572
        43,          2100,   25283,   71145,  -96431,   60323,   54552,  -99344,  -91132,   54993,   62039,   95640,   32962,   56989,   95640,   32962,   56989,  -91132,   29200,   62039,   95684,   -8130,   98648
        44,          2150,   23454,   72457,  -95915,   58917,   56108,  -99531,  -91399,   57094,   62618,   95716,   34723,   59400,   95716,   34723,   59400,  -91399,   30951,   62618,   95760,   -6913,   98724
        45,          2200,   21618,   73743,  -95365,   57496,   57642,  -99687,  -91673,   59142,   63304,   95792,   36438,   61770,   95792,   36438,   61770,  -91673,   32659,   63304,   95835,   -5728,   98798
        46,          2250,   19774,   75003,  -94780,   56060,   59153,  -99813,  -91950,   61140,   64118,   95866,   38109,   64098,   95866,   38109,   64098,  -91950,   34324,   64118,   95910,   -4573,   98871
        47,          2300,   17923,   76236,  -94163,   54610,   60642,  -99907,  -92223,   63089,   65087,   95940,   39737,   66385,   95940,   39737,   66385,  -92223,   35948,   65087,   95983,   -3448,   98943
        48,          2350,   16065,   77442,  -93511,   53147,   62108,  -99969,  -92485,   64989,   66244,   96013,   41323,   68630,   96013,   41323,   68630,  -92485,   37532,   66244,   96056,   -2352,   99013
        49,          2400,   14202,   78621,  -92827,   51670,   63549,  -99999,  -92722,   66843,   67631,   96085,   42868,   70833,   96085,   42868,   70833,  -92722,   39078,   67631,   96128,   -1285,   99083
        50,          2450,   12334,   79772,  -92109,   50181,   64964,  -99997,  -92920,   68650,   69289,   96156,   44373,   72975,   96156,   44373,   72975,  -92920,   40584,   69289,   96200,    -245,   99150
        51,          2500,   10461,   80894,  -91359,   48680,   66353,  -99962,  -93056,   70414,   71262,   96227,   45839,   75074,   96227,   45839,   75074,  -93056,   42054,   71262,   96271,     768,   99216
        52,          2550,    8584,   81988,  -90576,   47168,   67713,  -99894,  -93103,   72133,   73571,   96297,   47267,   77111,   96297,   47267,   77111,  -93103,   43488,   73571,   96341,    1755,   99280
        53,          2600,    6705,   83052,  -89762,   45647,   69044,  -99793,  -93031,   73810,   76194,   96366,   48658,   79107,   96366,   48658,   79107,  -93031,   44886,   76194,   96410,    2716,   99342
        54,          2650,    4823,   84087,  -88915,   44115,   70347,  -99658,  -92812,   75446,   79038,   96435,   50013,   81061,   96435,   50013,   81061,  -92812,   46249,   79038,   96479,    3652,   99404
        55,          2700,    2940,   85093,  -88036,   42572,   71621,  -99489,  -92435,   77041,   81935,   96503,   51333,   82953,   96503,   51333,   82953,  -92435,   47579,   81935,   96547,    4564,   99463
        56,          2750,    1055,   86068,  -87127,   41016,   72867,  -99286,  -91908,   78597,   84693,   96571,   52618,   84803,   96571,   52618,   84803,  -91908,   48876,   84693,   96614,    5452,   99521
        57,          2800,    -830,   87012,  -86186,   39446,   74088,  -99048,  -91262,   80115,   87165,   96638,   53870,   86549,   96638,   53870,   86549,  -91262,   50141,   87165,   96681,    6317,   99576
        58,          2850,   -2714,   87925,  -85215,   37860,   75283,  -98776,  -90533,   81595,   89287,   96704,   55089,   88212,   96704,   55089,   88212,  -90533,   51375,   89287,   96748,    7159,   99628
        59,          2900,   -4598,   88808,  -84214,   36261,   76452,  -98470,  -89751,   83038,   91071,   96770,   56277,   89771,   96770,   56277,   89771,  -89751,   52578,   91071,   96813,    7980,   99677
        60,          2950,   -6480,   89658,  -83182,   34647,   77594,  -98129,  -88933,   84446,   92562,   96835,   57433,   91205,   96835,   57433,   91205,  -88933,   53752,   92562,   96878,    8779,   99722
        61,          3000,   -8360,   90477,  -82121,   33021,   78709,  -97754,  -88087,   85819,   93812,   96899,   58559,   92536,   96899,   58559,   92536,  -88087,   54896,   93812,   96943,    9557,   99764
        62,          3050,  -10237,   91264,  -81031,   31383,   79796,  -97345,  -87216,   87159,   94865,   96962,   59656,   93741,   96962,   59656,   93741,  -87216,   56012,   94865,   97006,   10315,   99802
        63,          3100,  -12110,   92018,  -79912,   29733,   80854,  -96901,  -86322,   88465,   95755,   97025,   60724,   94864,   97025,   60724,   94864,  -86322,   57101,   95755,   97069,   11053,   99837
        64,          3150,  -13978,   92739,  -78765,   28072,   81884,  -96424,  -85405,   89739,   96510,   97088,   61765,   95862,   97088,   61765,   95862,  -85405,   58163,   96510,   97131,   11772,   99869
        65,          3200,  -15842,   93428,  -77590,   26400,   82885,  -95913,  -84466,   90981,   97151,   97149,   62778,   96756,   97149,   62778,   96756,  -84466,   59199,   97151,   97193,   12471,   99897
        66,          3250,  -17701,   94083,  -76387,   24718,   83858,  -95369,  -83506,   92193,   97694,   97210,   63764,   97546,   97210,   63764,   97546,  -83506,   60209,   97694,   97254,   13153,   99921
        67,          3300,  -19552,   94705,  -75157,   23025,   84802,  -94791,  -82526,   93375,   98155,   97270,   64724,   98232,   97270,   64724,   98232,  -82526,   61194,   98155,   97314,   13817,   99943
        68,          3350,  -21397,   95294,  -73900,   21322,   85719,  -94182,  -81528,   94527,   98544,   97329,   65660,   98814,   97329,   65660,   98814,  -81528,   62155,   98544,   97373,   14463,   99961
        69,          3400,  -23235,   95848,  -72617,   19608,   86609,  -93540,  -80511,   95651,   98871,   97388,   66570,   99271,   97388,   66570,   99271,  -80511,   63092,   98871,   97432,   15092,   99976
        70,          3450,  -25064,   96368,  -71309,   17884,   87472,  -92866,  -79478,   96748,   99143,   97445,   67457,   99624,   97445,   67457,   99624,  -79478,   64006,   99143,   97489,   15705,   99987
        71,          3500,  -26884,   96854,  -69974,   16149,   88308,  -92160,  -78430,   97817,   99368,   97502,   68320,   99874,   97502,   68320,   99874,  -78430,   64897,   99368,   97546,   16301,   99995
        72,          3550,  -28695,   97306,  -68616,   14405,   89118,  -91424,  -77367,   98751,   99551,   97558,   69161,   99978,   97558,   69161,   99978,  -77367,   65767,   99551,   97602,   16882,   99998
        73,          3600,  -30495,   97723,  -67232,   12651,   89902,  -90657,  -76290,   99424,   99697,   97613,   69979,   99998,   97613,   69980,   99998,  -76290,   66615,   99697,   97657,   17448,   99998
        74,          3650,  -32285,   98106,  -65825,   10887,   90659,  -89860,  -75202,   99832,   99809,   97667,   70776,   99895,   97667,   70776,   99895,  -75202,   67442,   99809,   97711,   17998,   99995
        75,          3700,  -34063,   98453,  -64394,    9115,   91391,  -89032,  -74104,   99998,   99893,   97720,   71552,   99687,   97720,   71552,   99687,  -74104,   68248,   99893,   97764,   18534,   99989
        76,          3750,  -35829,   98766,  -62941,    7334,   92096,  -88175,  -72998,   99949,   99950,   97772,   72308,   99354,   97772,   72308,   99354,  -72998,   69035,   99950,   97816,   19056,   99978
        77,          3800,  -37582,   99043,  -61465,    5544,   92776,  -87289,  -71884,   99703,   99985,   97823,   73043,   98918,   97823,   73043,   98918,  -71884,   69802,   99985,   97867,   19564,   99965
        78,          3850,  -39322,   99286,  -59967,    3748,   93429,  -86375,  -70764,   99280,   99999,   97873,   73759,   98398,   97873,   73759,   98398,  -70764,   70550,   99999,   97917,   20059,   99948
